,id,baseMean,log2FoldChange,lfcSE,pvalue,padj
0,ERCC-00002,167917.34272921758,0.8073156230420813,0.047609336410592826,9.65017601024286e-65,1.1028772583134697e-63
1,ERCC-00003,7902.634072895286,0.5199439598718313,0.05882299285353111,7.912104374755797e-19,4.8689873075420294e-18
2,ERCC-00004,10567.0482283563,-2.3280373290086076,0.055783455280883916,0.0,0.0
3,ERCC-00009,4672.573042804817,-0.19459359019540592,0.06146631079944271,0.0014917356987453462,0.003616328966655385
4,ERCC-00012,0.3842565985193673,-0.052325850953516245,0.820696381775875,0.6989236503935748,
5,ERCC-00013,4.643217804564441,0.5387313238869306,0.901585643468604,0.16072495782269303,0.2624080944043968
6,ERCC-00014,57.19298800191753,0.725927977554576,0.3647409708220398,0.026622803609679998,0.05756281861552432
7,ERCC-00016,1.3595241375719387,0.024258803772037436,0.7854774211716894,0.8926097174338663,0.9273867194118091
8,ERCC-00017,0.17198594620066784,-0.04815941001941458,0.8200579070239989,0.7684154749731151,
9,ERCC-00019,71.21135909484755,-2.1570486945211296,0.37887349858340197,1.2841325836304348e-09,5.4068740363386725e-09
10,ERCC-00022,1019.0518457429883,0.7972684480778203,0.1031735285254414,6.222570763581955e-15,3.3187044072437093e-14
11,ERCC-00024,0.864736311167424,0.14460383292942533,0.8192270036286821,0.5431810461558191,
12,ERCC-00025,663.9613941426951,-0.049931844587410415,0.11516720957450712,0.6620926787605992,0.8063803316910311
13,ERCC-00028,11.12893969899139,-0.7136660998185559,0.7351508262995529,0.1331375480660398,0.2266171030911316
14,ERCC-00031,11.298003329964887,-0.4286966500205986,0.6490711083404606,0.3200365839435631,0.5020181708918637
15,ERCC-00033,22.549739040662047,-2.7956675865666982,0.7509049989168091,1.105747329357517e-05,3.15927808387862e-05
16,ERCC-00034,77.49485335836485,0.04875629976844427,0.2989033163248892,0.8628562157775523,0.9143027879768679
17,ERCC-00035,561.6191455331963,-0.05819254897121306,0.12455094215540603,0.6356256674827292,0.8063803316910311
18,ERCC-00039,20.059092522000185,-0.11691025450256422,0.5206267646732807,0.7638605502423466,0.8785135860007914
19,ERCC-00040,2.7602442995422165,0.460334676614459,0.9250261180601891,0.148119743177502,0.24686623862917004
20,ERCC-00041,0.5454877659166001,-0.04223438676771098,0.8170096989653439,0.726160146778033,
21,ERCC-00042,2083.3850466183876,-0.30344653223225737,0.0753423035530706,5.1095356644441537e-05,0.00013625428438517742
22,ERCC-00043,5508.321114124564,0.49067572254161784,0.05465371962104227,2.4939959638025144e-19,1.662663975868343e-18
23,ERCC-00044,807.943387248124,0.4372286801490563,0.11132328663914011,7.281873059260782e-05,0.00018791930475511696
24,ERCC-00046,16809.72334417944,0.5190236511688764,0.04904745330244685,3.731121933193916e-26,2.7135432241410297e-25
25,ERCC-00048,0.48273039147639296,0.03182146559617773,0.8152450614366885,0.8654983913778235,
26,ERCC-00051,48.453875857121496,-0.6867241531947595,0.3911975965419083,0.04602151517409221,0.09440310804941991
27,ERCC-00053,158.40649336381222,-0.48391669827992917,0.2214164491662148,0.0227442532750019,0.05054278505555978
28,ERCC-00054,13.827927162038065,-0.028232569590087804,0.5587259268184543,0.943012495425133,0.954949362455831
29,ERCC-00057,1.2503728207249285,-0.060814602586272415,0.8139208781705117,0.7626774045047191,0.8785135860007914
30,ERCC-00058,12.86890002028458,0.18540613781937426,0.5880804749231389,0.6520006410014832,0.8063803316910311
31,ERCC-00059,66.57859840143468,1.0601662819990387,0.37067754857503277,0.0014719257685183904,0.003616328966655385
32,ERCC-00060,993.9845364103771,-0.4542735484072598,0.10842937742762312,2.276121750117023e-05,6.27895655204696e-05
33,ERCC-00061,0.3276857152813822,0.049389572257441026,0.8197402165795571,0.7646306751955301,
